Summary,Priority,Severity
Package Viewer: order resource folders before resources? (1GDGLP6),P1,major
Wrong execution's classpath. (1GEY0W0),P1,normal
type hierachy - typo (1GJW2XJ),P1,normal
Workspace source locator fails with mulitple package fragments,P1,normal
Close all editors brings up hierarchy of object,P1,normal
"""Plugins containing only Jars"" logis reverted",P1,normal
"Outline view: wrong spelling ""Add JavDoc Comment""",P1,normal
Class Creation Dialog generates syntax error,P1,normal
Organize imports adds explicit import to wildcard import,P1,normal
Package view back/forward/up arrow hover help,P1,normal
All types cache is flushed to frequently,P1,normal
quick fix: NPE on 'change visibility to default' [quick fix],P1,major
NPE in New Java Project Wizard,P1,critical
NPE buildpaths.CPVariableElement.equals(),P1,normal
Stepping through session bean is very slow in WSAD v5.1,P1,critical
Illegal code in the code formatter preference page [code formatter],P1,blocker
[Webapp] Test F1: 2)  Standalone infocenter not accessible through browser,P1,normal
NullPointerException from ReorgGroup,P1,normal
NPE trying to show context menu on method in Outliner,P1,normal
ClassCastException during move,P1,normal
NPE when renaming a local variable,P1,normal
Bogus error messages,P1,normal
coreexception when draging packages to its own parent,P1,major
NPE in Extract Local Variable,P1,normal
wrong method deleted (packages view),P1,major
"ArrayIndexOutOfBoundsException at ""Expand Selection to Previous Element""",P1,normal
Add from Local History items are unsorted,P1,critical
Package Viewer: Too many refreshes,P1,major
We must guard our Action against a Java editor not working on a CU,P1,critical
Java Search action set is missing the name for the menu,P1,normal
Single element view - markers from other elements shown,P1,critical
Assertion failure when copy/pasting import statement,P1,major
Assertion violation  when editing primary type declaration,P1,normal
Method signature refactor does not update Outline,P1,major
Moving linked resource onto self deletes linked resource,P1,major
Renaming linked source folder copies content,P1,critical
[1.7][code assist] CompletionContext.getExpectedTypesKeys() returns wrong type,P1,normal
Compare: Save code path problematic (1GJYGAX),P1,normal
wrong indent when using replace from local history,P1,normal
'Replace from History' doesn't use source range from working copy,P1,normal
Entire zipfiles content sent prior when computing synchronization view content,P1,critical
Deleting an open unsaved resource causes error,P1,normal
File Deleted dialog when renaming a file using Refactoring,P1,normal
Missing message for missing jar,P1,normal
Background file change not loaded when two editors open,P1,blocker
Builder pref - Cannot exclude folder from resource copying,P1,normal
Missing Working Set Icon,P1,trivial
J Working Sets not persisted,P1,major
Compare with patch fails due to missing LF,P1,blocker
Cannot replace with local history due to NoClassDefFoundError,P1,critical
CompareEditor.setInput() does not notify ISaveablesLifecycleListener,P1,critical
Workspace selection screen broken in N20140228-0245,P1,blocker
[extract superclass] Extract Superclass without 'Use the extracted class' removes code,P1,major
clicking on white space collapses tree,P1,normal
"""Reconciling"" an installation with multiple versions of the automatically started plugins fails",P1,blocker
[DataBinding] Current validators mix data type conversion and business rule validation concerns,P1,normal
[Viewers] TreeSelection should subclass StructuredSelection,P1,blocker
[DataBinding] Enhancements to the data binding framework,P1,normal
[DataBinding] IObservable refactoring,P1,normal
[WorkbenchParts] Double save prompt with view that implements ISaveablePart,P1,normal
[IDE] Deadlock caused by IDEIdleHelper and HeapStatus calls to runFinalization from UI thread,P1,critical
[Viewers] JFace AbstractTreeViewer: itemExists doesn't handle equal tree entries,P1,major
[WorkbenchParts] ISaveablePart2 prompting does not happen when closing a perspective,P1,critical
[Viewers] v3.2/v3.3 TableViewer sort performance much slower than v3.0.1,P1,normal
[Viewers] Breaking API change: DecoratingLabelProvider no longer extends LabelProvider,P1,major
[Viewers] Virtual TreeViewer/ILazyTreePathContentProvider: preservingSelection and refresh not always working,P1,normal
NavigatorSaveablesServices NPEs on shutdown,P1,major
[LinkedResources] No way to create a linked resource based on a variable,P1,major
[Viewers] JFace viewers performance issues in 3.3,P1,major
ArrayIndexOutOfBoundsException by org.eclipse.swt.graphics.GC.drawImage(),P1,critical
Tree with checkbox items are not accessible,P1,major
Classcast exception from Registers View,P1,major
Suspended thread does not show stackframe/missing thread labels,P1,normal
"Actions under the ""Run"" menu are incorrectly enabled at startup",P1,major
NPE in asynch tree viewer,P1,normal
NPE in PropertiesSpellingReconcileStrategy,P1,normal
"DBCS: Select project ""Properties"" cause core dump in GTK",P1,critical
Minimization of top Shell widgets impossible (SWT.MIN & SWT.NONE) on PocketPC (BBAWT),P1,critical
EC: bug in undo command (1GLE02N),P1,normal
Eclipse crash after after NPE during code assist (template),P1,major
Intempestive code assist scenario,P1,normal
All types dialog shows obfuscated classes,P1,normal
"ctrl+insert, shift+insert incorrectly flips the insert/overwrite bit",P1,normal
Index out of bounds at template preference page,P1,normal
Code completion should indicate deprecated methods,P1,normal
template pref page: exception while importing incorrect file,P1,normal
[KeyBindings] Some key bindings not working,P1,major
CVS Plug-in fails to start,P1,blocker
[Key Bindings] Key binding and unknown command (conflict),P1,critical
[Commands] Workbench.restart() throws a null pointer,P1,critical
[Help] NOT function on filters,P1,enhancement
ClassCastException expanding inspect expression,P1,normal
PDE has renamed LauncherUtils.clearWorkspace(),P1,normal
[Contributions] Duplicate view toolbar buttons; menu enablement problems in Git Repositories view,P1,critical
[CSS] After switching the CSS theme the DND handles disappear from the trim bars,P1,major
Part's background color is wrong,P1,major
[CSS] Active part's 2nd line toolbar background color looks wrong,P1,normal
DCR: Add working set support,P1,enhancement
TVT Text extension/truncation problem in jar packager,P1,minor
Not possible to select a main class in export jar wizard,P1,normal
Reconcile with errors - incorrect problem merging,P1,major
Java Editor: converting line delimiters and undo,P1,major
Revert apears twice in the popup menu.,P1,major
NPE in compare,P1,critical
"Using ""h"" mnemonic in file or java search page switches to Help page",P1,normal
Type Hierarchy: Icons shown as red squares,P1,critical
Text search should not use TEXT from team,P1,critical
NPE in CompilationUnitEditor,P1,critical
Show outline doesn't get focus,P1,critical
NPE while pasting,P1,critical
Deadlock in AnnotationPainter,P1,major
"[implementation][preferences] crash with non-""system default"" foreground/background colors",P1,major
Changes to ResultCollector --> API,P1,critical
[Undo] - Rename CU scenario - undo becomes disabled in renamed editor,P1,major
[typing] Undo runs on wrong editor,P1,major
Editor save does not write to disk (intermittent),P1,critical
Selection automatically jumps to warning inside the selected source range,P1,critical
[misc] deadlock in PreferencesAdapter.firePropertyChangeEvent,P1,critical
2 ASTs created while typing,P1,major
NPE in LaunchViewBreadcrumb.dispose,P1,major
Feature: navigate from console output to resource (1G81S73),P1,enhancement
Remote Evaluation (AST evaluation),P1,normal
Full build caused hot code replace failure (1GDH1CH),P1,critical
README: Attach launching not working with debug element selection (1GF5ZQC),P1,critical
BUG - Timing out on toString; total redraw of debug view (1GG8SQJ),P1,minor
Drop to frame hangs if after invoke (1GH3XDA),P1,minor
Inspected variable children not always updating (1GIGIX5),P1,minor
JDT conditional breakpoints (1GIVKP1),P1,normal
JSP Support for 2.0 (1GJ8LK3),P1,normal
IDE not activated when target closed (1GJ8NOD),P1,minor
Feature: filter static initializers (1GKQHTT),P1,normal
Widget is disposed error on breakpoint properties (1GLE3NA),P1,critical
"Thread suspend/resume errors in classes with the ""same"" name",P1,normal
Breakpoints remain installed after target terminates,P1,normal
Multiple breakpoints on the same line,P1,normal
Hit count breakpoint does not re-enable,P1,normal
Breakpoint not hit,P1,normal
Copy is disabled in the console,P1,major
1.0 -- JSP breakpoints don't get removed,P1,normal
Launcher Timeouts on Win98,P1,normal
Set breakpoint takes very long,P1,normal
TVT: Properties view for debug process is missing substitution variable,P1,normal
TVT1: Hardcoded category name in Debug (org.eclipse.debug.ui\plugin.xml),P1,normal
Cancelling add exception breakpoint has no effect,P1,normal
ClassCastExceptions caused by BreakpointManager,P1,blocker
Bad import in LocalEvaluationEngine,P1,normal
Breakpoint not installed if filename has underscore,P1,blocker
JDK 1.4 hot swap,P1,normal
Drop to frame does not re-select top stack frame,P1,normal
Breakpoint not reinstalled after hot swap,P1,normal
Breakpoints do not work on class with native methods,P1,normal
Launch/Run actions should be available on menubar,P1,normal
NPE in SocketUtil,P1,normal
Breakpoint marker deleted without notifying breakpoint object,P1,normal
NPE out of LaunchManagerVisitor on shutdown,P1,normal
hot swap fails when native method on stack,P1,critical
display view code assist cotext should be receiving type,P1,normal
Hot swap in main causes Eclipse to crash,P1,critical
Debug view toolbar/menu pollution,P1,major
Help for debug views in 1.0,P1,normal
